sample_id,question,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_256_25,0,2718594,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_256_25,0,2718594,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_768_75,0,907340,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_768_75,0,907340,0.25,0.25,0.43067655807339306,0.2,1.0,0.33333333333333337
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_1024_100,0,680949,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_1024_100,0,680949,1.0,1.0,1.0,0.2,1.0,0.33333333333333337
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_512_0,0,1233903,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_512_0,0,1233903,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_512_128,0,1635117,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_512_128,0,1635117,1.0,1.0,1.0,0.2,1.0,0.33333333333333337
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_512_256,0,2452709,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_512_256,0,2452709,0.0,0.0,0.0,0.0,0.0,0.0
