sample_id,question,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
4987105805278487511,Bones who is the father of angela's baby?,fixed_512_50,0,1360250,0.5,0.5,0.6309297535714575,0.2,0.3333333333333333,0.25
-6593534685836250520,When did health care workers first use chlorine solution to decontaminate hands?,fixed_512_50,0,1360250,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
163584850516751107,Who sings you put the lime in the coconut?,fixed_512_50,0,1360250,1.0,1.0,1.0,0.6,1.5,0.857142857142857
357726708731665296,Who sings you say it best when you say nothing at all?,fixed_512_50,0,1360250,1.0,0.8041666666666667,0.9047172294870751,0.8,0.36363636363636365,0.5000000000000001
-4822789605010746268,In 1911 congress decided to fix the size of the house at?,fixed_512_50,0,1360250,1.0,1.0,1.0,1.0,2.5,1.4285714285714286
-4900709700910146568,Who has won the last 10 world series?,fixed_512_50,0,1360250,1.0,0.8875,0.9558295932317544,0.8,0.3333333333333333,0.47058823529411764
-1014810535517666778,When did conflict start in israel and palestine?,fixed_512_50,0,1360250,1.0,1.0,1.0,0.8,1.3333333333333333,1.0
1237920926774398276,When's the next time easter falls on april fools day?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
2269457951575222809,What movie was welcome home by radical face in?,fixed_512_50,0,1360250,1.0,1.0,1.0,0.2,0.25,0.22222222222222224
-6926705067608220856,What led to the end of indus valley civilization?,fixed_512_50,0,1360250,1.0,0.8875,0.9558295932317544,0.8,0.5714285714285714,0.6666666666666666
6113879938573233819,Who has the highest number of likes on instagram?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
-3857791602197870808,Who becomes chief of police on the closer?,fixed_512_50,0,1360250,1.0,0.7555555555555555,0.8854598815714874,0.6,0.75,0.6666666666666665
-6102374678194889758,List of highest runs in champion trophy 2017?,fixed_512_50,0,1360250,0.5,0.5,0.6309297535714575,0.2,0.2,0.20000000000000004
2714015286907845703,Who is clara on when calls the heart?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
-876253858162782258,Most amount of points scored in an nba game?,fixed_512_50,0,1360250,0.5,0.5333333333333333,0.6797310500037655,0.6,0.75,0.6666666666666665
-8489723227411518336,Who wrote the assyrian came down like a wolf on the fold?,fixed_512_50,0,1360250,0.5,0.5833333333333333,0.6934264036172708,0.4,1.0,0.5714285714285715
